Y,DESCRIPTION
LOG_2D_MEAN_DEVIATION_2_5MM_LBW,Absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_ROBUST_DEVIATION_0_0MM_BW,Robust absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_ROBUST_DEVIATION_0_0MM_HU,Robust absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_ROBUST_DEVIATION_0_0MM_LBW,Robust absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_ROBUST_DEVIATION_2_5MM_BW,Robust absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_ROBUST_DEVIATION_2_5MM_HU,Robust absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_ROBUST_DEVIATION_2_5MM_LBW,Robust absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_0_0MM_BW,Median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_0_0MM_HU,Median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_0_0MM_LBW,Median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_2_5MM_BW,Median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_2_5MM_HU,Median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_2_5MM_LBW,Median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_DEVIATION_0_0MM_BW,Absolute deviation from the median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_DEVIATION_0_0MM_HU,Absolute deviation from the median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_DEVIATION_0_0MM_LBW,Absolute deviation from the median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_DEVIATION_2_5MM_BW,Absolute deviation from the median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_DEVIATION_2_5MM_HU,Absolute deviation from the median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEDIAN_DEVIATION_2_5MM_LBW,Absolute deviation from the median of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MIN_0_0MM_BW,Minimum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MIN_0_0MM_HU,Minimum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MIN_0_0MM_LBW,Minimum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MIN_2_5MM_BW,Minimum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MIN_2_5MM_HU,Minimum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MIN_2_5MM_LBW,Minimum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_PERCENTILE10_0_0MM_BW,The 10th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_PERCENTILE10_0_0MM_HU,The 10th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_PERCENTILE10_0_0MM_LBW,The 10th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_PERCENTILE10_2_5MM_BW,The 10th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_PERCENTILE10_2_5MM_HU,The 10th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_PERCENTILE10_2_5MM_LBW,The 10th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_PERCENTILE90_0_0MM_BW,The 90th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing.
LOG_2D_PERCENTILE90_0_0MM_HU,The 90th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing.
LOG_2D_PERCENTILE90_0_0MM_LBW,The 90th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing.
LOG_2D_PERCENTILE90_2_5MM_BW,The 90th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing.
LOG_2D_PERCENTILE90_2_5MM_HU,The 90th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing.
LOG_2D_PERCENTILE90_2_5MM_LBW,The 90th percentile of 2.5D LoG transformed voxels at 2.5mm smoothing.
LOG_2D_QCOD_0_0MM_BW,Quartile coefficient of dispersion of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_QCOD_0_0MM_HU,Quartile coefficient of dispersion of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_QCOD_0_0MM_LBW,Quartile coefficient of dispersion of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_QCOD_2_5MM_BW,Quartile coefficient of dispersion of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_QCOD_2_5MM_HU,Quartile coefficient of dispersion of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_QCOD_2_5MM_LBW,Quartile coefficient of dispersion of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RANGE_0_0MM_BW,Range of values of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RANGE_0_0MM_HU,Range of values of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RANGE_0_0MM_LBW,Range of values of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RANGE_2_5MM_BW,Range of values of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RANGE_2_5MM_HU,Range of values of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RANGE_2_5MM_LBW,Range of values of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RMS_0_0MM_BW,Root mean squared of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RMS_0_0MM_HU,Root mean squared of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RMS_0_0MM_LBW,Root mean squared of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RMS_2_5MM_BW,Root mean squared of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RMS_2_5MM_HU,Root mean squared of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_RMS_2_5MM_LBW,Root mean squared of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_SKEWNESS_0_0MM_BW,Skewness of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_SKEWNESS_0_0MM_HU,Skewness of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_SKEWNESS_0_0MM_LBW,Skewness of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_SKEWNESS_2_5MM_BW,Skewness of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_SKEWNESS_2_5MM_HU,Skewness of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_SKEWNESS_2_5MM_LBW,Skewness of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_VARIANCE_0_0MM_BW,Variance of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_VARIANCE_0_0MM_HU,Variance of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_VARIANCE_0_0MM_LBW,Variance of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_VARIANCE_2_5MM_BW,Variance of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_VARIANCE_2_5MM_HU,Variance of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_VARIANCE_2_5MM_LBW,Variance of 2.5D LoG transformed voxels at 2.5mm smoothing
LUNG_PERCENT_LOW_DENSITY_TOTAL,Percent of low density tissue in total lung volume.
LUNG_PERCENT_NORM_DENSITY_TOTAL,Percent of normal density tissue in total lung volume.
LUNG_VOL_LOW_DENSITY_ML_TOTAL,Volume of low density tissue in total lung volume.
LUNG_VOL_NORM_DENSITY_ML_TOTAL,Volume of normal density tissue in total lung volume.
MEAN_SIRM_HU,The mean of the HU values within the slice with the longest axis.
MEDIAN_DEVIATION_HU,The mean of the distances of each image HU value from the median of all the values in the image ROI.
NGLDM_IBSI_DEP_COUNT_PERCENTAGE_2DF_BW,Grey level variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_COUNT_PERCENTAGE_2DF_HU,Grey level variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_COUNT_PERCENTAGE_2DV_BW,Grey level variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_COUNT_PERCENTAGE_2DV_HU,Grey level variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_COUNT_PERCENTAGE_3D_BW,Grey level variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_COUNT_PERCENTAGE_3D_HU,Grey level variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENERGY_2DF_BW,Dependence energy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENERGY_2DF_HU,Dependence energy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENERGY_2DV_BW,Dependence energy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENERGY_2DV_HU,Dependence energy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENERGY_3D_BW,Dependence energy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENERGY_3D_HU,Dependence energy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENTROPY_2DF_BW,Dependence entropyfrom merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENTROPY_2DF_HU,Dependence entropyfrom merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENTROPY_2DV_BW,Dependence entropyfrom merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENTROPY_2DV_HU,Dependence entropyfrom merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENTROPY_3D_BW,Dependence entropyfrom merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_ENTROPY_3D_HU,Dependence entropyfrom merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_2DF_BW,Dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_2DF_HU,Dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_2DV_BW,Dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_2DV_HU,Dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_3D_BW,Dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_3D_HU,Dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_NORM_2DF_BW,Normalized dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_NORM_2DF_HU,Normalized dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_NORM_2DV_BW,Normalized dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_NORM_2DV_HU,Normalized dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_NORM_3D_BW,Normalized dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_NONUNIF_NORM_3D_HU,Normalized dependence nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_VARIANCE_2DF_BW,Dependence entropy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_VARIANCE_2DF_HU,Dependence entropy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_VARIANCE_2DV_BW,Dependence entropy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_VARIANCE_2DV_HU,Dependence entropy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_VARIANCE_3D_BW,Dependence entropy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_DEP_VARIANCE_3D_HU,Dependence entropy from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GL_VARIANCE_2DF_BW,Dependence variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GL_VARIANCE_2DF_HU,Dependence variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GL_VARIANCE_2DV_BW,Dependence variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GL_VARIANCE_2DV_HU,Dependence variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GL_VARIANCE_3D_BW,Dependence variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GL_VARIANCE_3D_HU,Dependence variance from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_2DF_BW,Grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_2DF_HU,Grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_2DV_BW,Grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_2DV_HU,Grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_3D_BW,Grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_3D_HU,Grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_NORM_2DF_BW,Normalized grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_NORM_2DF_HU,Normalized grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_NORM_2DV_BW,Normalized grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_NORM_2DV_HU,Normalized grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_NORM_3D_BW,Normalized grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_GLNONUNIF_NORM_3D_HU,Normalized grey level nonuniformity from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_EMPH_2DF_BW,High dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_EMPH_2DF_HU,High dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_EMPH_2DV_BW,High dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_EMPH_2DV_HU,High dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_EMPH_3D_BW,High dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_EMPH_3D_HU,High dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_HIGH_GL_EMPH_2DF_BW,High dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_HIGH_GL_EMPH_2DF_HU,High dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_HIGH_GL_EMPH_2DV_BW,High dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_HIGH_GL_EMPH_2DV_HU,High dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_HIGH_GL_EMPH_3D_BW,High dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_HIGH_GL_EMPH_3D_HU,High dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_LOW_GL_EMPH_2DF_BW,High dependence low grey level from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_LOW_GL_EMPH_2DF_HU,High dependence low grey level from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_LOW_GL_EMPH_2DV_BW,High dependence low grey level from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_LOW_GL_EMPH_2DV_HU,High dependence low grey level from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_LOW_GL_EMPH_3D_BW,High dependence low grey level from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_DEP_LOW_GL_EMPH_3D_HU,High dependence low grey level from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_GL_EMPH_2DF_BW,High grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_GL_EMPH_2DF_HU,High grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_GL_EMPH_2DV_BW,High grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_GL_EMPH_2DV_HU,High grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_GL_EMPH_3D_BW,High grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_HIGH_GL_EMPH_3D_HU,High grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_EMPH_2DF_BW,Low dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_EMPH_2DF_HU,Low dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_EMPH_2DV_BW,Low dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_EMPH_2DV_HU,Low dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_EMPH_3D_BW,Low dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_EMPH_3D_HU,Low dependence emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_HIGH_GL_EMPH_2DF_BW,Low dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_HIGH_GL_EMPH_2DF_HU,Low dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_HIGH_GL_EMPH_2DV_BW,Low dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_HIGH_GL_EMPH_2DV_HU,Low dependence from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_HIGH_GL_EMPH_3D_BW,Low dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_HIGH_GL_EMPH_3D_HU,Low dependence high grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_LOW_GL_EMPH_2DF_BW,Low dependence from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_LOW_GL_EMPH_2DF_HU,Low dependence from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_LOW_GL_EMPH_2DV_BW,Low dependence from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_LOW_GL_EMPH_2DV_HU,Low dependence from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_LOW_GL_EMPH_3D_BW,Low dependence from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_DEP_LOW_GL_EMPH_3D_HU,Low dependence from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_GL_EMPH_2DF_BW,Low grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_GL_EMPH_2DF_HU,Low grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_GL_EMPH_2DV_BW,Low grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_GL_EMPH_2DV_HU,Low grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_GL_EMPH_3D_BW,Low grey level emphasis from merging matrices from each slice and averaging the result.
NGLDM_IBSI_LOW_GL_EMPH_3D_HU,Low grey level emphasis from merging matrices from each slice and averaging the result.
NGTDM_BUSYNESS_2DF_BW,Busyness from averaging metrics from all matrices
NGTDM_BUSYNESS_2DF_HU,Busyness from averaging metrics from all matrices
NGTDM_BUSYNESS_2DV_BW,Busyness from merging 8 matrices for each slice
NGTDM_BUSYNESS_2DV_HU,Busyness from merging 8 matrices for each slice
NGTDM_BUSYNESS_3D_BW,Busyness from merging matrices from all 26 directions
NGTDM_BUSYNESS_3D_HU,Busyness from merging matrices from all 26 directions
NGTDM_COARSENESS_2DF_BW,Coarseness from averaging metrics from all matrices
NGTDM_COARSENESS_2DF_HU,Coarseness from averaging metrics from all matrices
NGTDM_COARSENESS_2DV_BW,Coarseness from merging 8 matrices for each slice
NGTDM_COARSENESS_2DV_HU,Coarseness from merging 8 matrices for each slice
NGTDM_COARSENESS_3D_BW,Coarseness from merging matrices from all 26 directions
NGTDM_COARSENESS_3D_HU,Coarseness from merging matrices from all 26 directions
NGTDM_COMPLEXITY_2DF_BW,Complexity from averaging metrics from all matrices
NGTDM_COMPLEXITY_2DF_HU,Complexity from averaging metrics from all matrices
NGTDM_COMPLEXITY_2DV_BW,Complexity from merging 8 matrices for each slice
NGTDM_COMPLEXITY_2DV_HU,Complexity from merging 8 matrices for each slice
NGTDM_COMPLEXITY_3D_BW,Complexity from merging matrices from all 26 directions
NGTDM_COMPLEXITY_3D_HU,Complexity from merging matrices from all 26 directions
NGTDM_CONTRAST_2DF_BW,Contrast from averaging metrics from all matrices
NGTDM_CONTRAST_2DF_HU,Contrast from averaging metrics from all matrices
NGTDM_CONTRAST_2DV_BW,Contrast from merging 8 matrices for each slice
NGTDM_CONTRAST_2DV_HU,Contrast from merging 8 matrices for each slice
NGTDM_CONTRAST_3D_BW,Contrast from merging matrices from all 26 directions
NGTDM_CONTRAST_3D_HU,Contrast from merging matrices from all 26 directions
NGTDM_STRENGTH_2DF_BW,Strength from averaging metrics from all matrices
NGTDM_STRENGTH_2DF_HU,Strength from averaging metrics from all matrices
NGTDM_STRENGTH_2DV_BW,Strength from merging 8 matrices for each slice
NGTDM_STRENGTH_2DV_HU,Strength from merging 8 matrices for each slice
NGTDM_STRENGTH_3D_BW,Strength from merging matrices from all 26 directions
NGTDM_STRENGTH_3D_HU,Strength from merging matrices from all 26 directions
PERCENTILE10_HU,The lowest intensity in the ROI that is greater than 10% of the voxel intensities in the ROI.
PERCENTILE90_HU,The lowest intensity in the ROI that is greater than 90% of the voxel intensities in the ROI.
QUARTILE_COEFFICIENT_OF_DISPERSION_HU,A measure of dispersion in the intensity distribution in the image ROI.
ROBUST_MEAN_DEVIATION_HU,The mean absolute deviation of voxels between the 10th and 90th percentile.
SHIFT_CENTER_OF_MASS_MM,Shift in the center of mass due to image intensity.
SLICE_INDEX,"Slice index of structure in 1-indexed grid coordinates, per DICOM standard."
SURFACE_AREA_TO_VOLUME_RATIO_VOXELS,"Ratio of surface area to volume, both derived from voxel information."
SURFACE_AREA_VOXELS,Surface area of the specified ROI as a count of voxel faces exposed as a surface.
SUV_METABOLIC_TUMOR_VOLUME_THRESHOLD_BW,Intensity threshold in BW used to create a metabolic tumor volume
SUV_METABOLIC_TUMOR_VOLUME_THRESHOLD_LBW,Intensity threshold in LBW used to create a metabolic tumor volume
SUV_TOTAL_LESION_GLYCOLYSIS_BW,SUV BW Total lesion glycolysis
SUV_TOTAL_LESION_GLYCOLYSIS_LBW,SUV BW Total lesion glycolysis
VARIANCE_IBSI_HU,The variance of the HU values within the image ROI.
WAVELET_HHL_COV_BW,Coefficient of variation of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_COV_HU,Coefficient of variation of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_COV_LBW,Coefficient of variation of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_ENERGY_BW,Energy of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_ENERGY_HU,Energy of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_ENERGY_LBW,Energy of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_ENTROPY_BW,Entropy of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_ENTROPY_HU,Entropy of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_ENTROPY_LBW,Entropy of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_IQR_BW,Interquartile range of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_IQR_HU,Interquartile range of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_IQR_LBW,Interquartile range of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_KURTOSIS_BW,Excess kurtosis voxels under wavelet transforms with filters HHL.
WAVELET_HHL_KURTOSIS_HU,Excess kurtosis voxels under wavelet transforms with filters HHL.
WAVELET_HHL_KURTOSIS_LBW,Excess kurtosis voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MAX_BW,Maximum of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MAX_HU,Maximum of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MAX_LBW,Maximum of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEAN_BW,Mean of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEAN_DEVIATION_BW,Absolute deviation from the mean of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEAN_DEVIATION_HU,Absolute deviation from the mean of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEAN_DEVIATION_LBW,Absolute deviation from the mean of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEAN_HU,Mean of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEAN_LBW,Mean of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEDIAN_BW,Median of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEDIAN_DEVIATION_BW,Absolute deviation from the median of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEDIAN_DEVIATION_HU,Absolute deviation from the median of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEDIAN_DEVIATION_LBW,Absolute deviation from the median of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEDIAN_HU,Median of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MEDIAN_LBW,Median of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MIN_BW,Minimum of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MIN_HU,Minimum of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_MIN_LBW,Minimum of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_PERCENTILE10_BW,The 10th percentile of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_PERCENTILE10_HU,The 10th percentile of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_PERCENTILE10_LBW,The 10th percentile of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_PERCENTILE90_BW,The 90th percentile voxels under wavelet transforms with filters HHL.
WAVELET_HHL_PERCENTILE90_HU,The 90th percentile voxels under wavelet transforms with filters HHL.
WAVELET_HHL_PERCENTILE90_LBW,The 90th percentile voxels under wavelet transforms with filters HHL.
WAVELET_HHL_QCOD_BW,Quartile coefficient of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_QCOD_HU,Quartile coefficient of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_QCOD_LBW,Quartile coefficient of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_RANGE_BW,Range of values of voxels under wavelet transforms with filters HHL.
WAVELET_HHL_RANGE_HU,Range of values of voxels under wavelet transforms with filters HHL.
